"task_name","duration_seconds","start_time","metadata","user_id","user_name","activity_type","preview_image_url","end_time","task_id","id","created_date","updated_date","created_by_id","created_by","is_sample"
"Data Entry","18540","2026-06-17T06:36:58.806Z","{""total_typed_chars"":17167,""total_pasted_chars"":0,""paste_event_count"":0,""last_paste_length"":0,""backspace_count"":1497,""tab_switch_count"":46,""last_switch_time"":""2026-06-17T11:45:33.710Z"",""window_minimized_seconds"":2467,""screen_hidden_events"":46,""idle_time_seconds"":630,""active_seconds"":16352,""wpm"":24,""last_save"":""2026-06-17T11:45:28.013Z"",""last_activity"":""2026-06-17T11:45:59.697Z""}","69e080c316eada7181a563d4","Abdul wahab","task_started","","2026-06-17T11:45:59.697Z","Data Entry","6a32409018adbdc933c2c322","2026-06-17T06:37:04.627000","2026-06-17T11:46:05.503000","anonymous","anonymous","false"
"Form Filling","4681","2026-06-17T04:24:08.620Z","{""total_typed_chars"":1605,""total_pasted_chars"":0,""paste_event_count"":0,""last_paste_length"":0,""backspace_count"":251,""tab_switch_count"":157,""last_switch_time"":""2026-06-17T05:38:25.144Z"",""window_minimized_seconds"":1885,""screen_hidden_events"":157,""idle_time_seconds"":1070,""active_seconds"":2520,""wpm"":12,""last_save"":""2026-06-17T05:09:05.410Z"",""last_activity"":""2026-06-17T05:42:10.241Z""}","69d60928f062ae4557300ef7","Dhanraj Khichi","task_started","","2026-06-17T05:42:10.241Z","Form Filling","6a3221691d66f72a15916d22","2026-06-17T04:24:09.407000","2026-06-17T05:42:10.801000","anonymous","anonymous","false"
"Form Filling","21520","2026-06-16T08:02:07.589Z","{""total_typed_chars"":17583,""total_pasted_chars"":0,""paste_event_count"":0,""last_paste_length"":0,""backspace_count"":1984,""tab_switch_count"":66,""last_switch_time"":""2026-06-16T13:52:10.212Z"",""window_minimized_seconds"":4431,""screen_hidden_events"":66,""idle_time_seconds"":910,""active_seconds"":17846,""wpm"":21,""last_save"":""2026-06-16T13:56:59.276Z"",""last_activity"":""2026-06-16T14:00:48.279Z""}","69e080c316eada7181a563d4","Abdul wahab","task_started","","2026-06-16T14:00:48.279Z","Form Filling","6a3103044a0db02a812f5298","2026-06-16T08:02:12.621000","2026-06-16T14:00:53.261000","anonymous","anonymous","false"
"Data Entry","80","2026-06-16T06:25:28.473Z","{""total_typed_chars"":11,""total_pasted_chars"":0,""paste_event_count"":0,""last_paste_length"":0,""backspace_count"":1,""tab_switch_count"":3,""last_switch_time"":""2026-06-16T06:25:53.822Z"",""window_minimized_seconds"":14,""screen_hidden_events"":3,""idle_time_seconds"":0,""active_seconds"":72,""wpm"":21,""last_save"":null,""last_activity"":""2026-06-16T06:26:49.363Z""}","69e080c316eada7181a563d4","Abdul wahab","task_started","","2026-06-16T06:26:49.363Z","Data Entry","6a30ec5d82ed5d294ae61929","2026-06-16T06:25:33.770000","2026-06-16T06:26:54.187000","anonymous","anonymous","false"
"Data Entry","","2026-06-12T16:08:50.469Z","{""total_typed_chars"":0,""total_pasted_chars"":0,""paste_event_count"":0,""last_paste_length"":0,""backspace_count"":0,""tab_switch_count"":0,""last_switch_time"":null,""window_minimized_seconds"":0,""screen_hidden_events"":0,""idle_time_seconds"":0,""active_seconds"":0,""wpm"":0,""last_save"":null,""last_activity"":""2026-06-12T16:08:50.470Z""}","69cdefb14809bcb1180a344e","aman","task_started","","","Data Entry","6a2c2f12ec9a4a96f73c5ec5","2026-06-12T16:08:50.502000","2026-06-12T16:08:50.502000","anonymous","anonymous","false"
"Grammar Correction","","2026-06-12T16:07:27.532Z","{""total_typed_chars"":0,""total_pasted_chars"":0,""paste_event_count"":0,""last_paste_length"":0,""backspace_count"":0,""tab_switch_count"":0,""last_switch_time"":null,""window_minimized_seconds"":0,""screen_hidden_events"":0,""idle_time_seconds"":0,""active_seconds"":0,""wpm"":0,""last_save"":null,""last_activity"":""2026-06-12T16:07:27.532Z""}","69cdefb14809bcb1180a344e","aman","task_started","","","Grammar Correction","6a2c2ebfdd0fd37bf6b2ba8e","2026-06-12T16:07:27.565000","2026-06-12T16:07:27.565000","anonymous","anonymous","false"
"PDF to Word Typing","165","2026-06-12T16:04:28.437Z","{""total_typed_chars"":10,""total_pasted_chars"":210,""paste_event_count"":3,""last_paste_length"":70,""backspace_count"":0,""tab_switch_count"":2,""last_switch_time"":""2026-06-12T16:05:04.446Z"",""window_minimized_seconds"":5,""screen_hidden_events"":2,""idle_time_seconds"":40,""active_seconds"":60,""wpm"":11,""last_save"":null,""last_activity"":""2026-06-12T16:07:13.507Z""}","","Unknown","task_started","","2026-06-12T16:07:13.507Z","PDF to Word Typing","6a2c2e0c5c801bdf60b0ca31","2026-06-12T16:04:28.726000","2026-06-12T16:07:13.536000","anonymous","anonymous","false"
"Form Filling","176","2026-06-12T16:03:51.793Z","{""total_typed_chars"":0,""total_pasted_chars"":0,""paste_event_count"":0,""last_paste_length"":0,""backspace_count"":0,""tab_switch_count"":1,""last_switch_time"":""2026-06-12T16:04:42.865Z"",""window_minimized_seconds"":123,""screen_hidden_events"":1,""idle_time_seconds"":65,""active_seconds"":50,""wpm"":0,""last_save"":null,""last_activity"":""2026-06-12T16:06:47.994Z""}","69cdefb14809bcb1180a344e","aman","task_started","","2026-06-12T16:06:47.994Z","Form Filling","6a2c2de7f50a59986c76bcfb","2026-06-12T16:03:51.841000","2026-06-12T16:06:48.350000","anonymous","anonymous","false"
"PDF to Word Typing","95","2026-06-12T16:02:04.067Z","{""total_typed_chars"":0,""total_pasted_chars"":0,""paste_event_count"":0,""last_paste_length"":0,""backspace_count"":0,""tab_switch_count"":1,""last_switch_time"":""2026-06-12T16:03:01.173Z"",""window_minimized_seconds"":35,""screen_hidden_events"":1,""idle_time_seconds"":40,""active_seconds"":54,""wpm"":0,""last_save"":null,""last_activity"":""2026-06-12T16:03:39.401Z""}","69cdefb14809bcb1180a344e","aman","task_abandoned","","2026-06-12T16:03:39.401Z","PDF to Word Typing","6a2c2d7cf63f229a81cc7d48","2026-06-12T16:02:04.103000","2026-06-12T16:03:39.461000","anonymous","anonymous","false"
"PDF to Word Typing","120","2026-06-12T15:58:52.786Z","{""total_typed_chars"":0,""total_pasted_chars"":0,""paste_event_count"":0,""last_paste_length"":0,""backspace_count"":0,""tab_switch_count"":0,""last_switch_time"":null,""window_minimized_seconds"":0,""screen_hidden_events"":0,""idle_time_seconds"":65,""active_seconds"":58,""wpm"":0,""last_save"":null,""last_activity"":""2026-06-12T16:00:53.708Z""}","","Admin","task_started","","2026-06-12T16:00:53.708Z","PDF to Word Typing","6a2c2cbdeeed589bb3dcf736","2026-06-12T15:58:53.247000","2026-06-12T16:00:53.809000","anonymous","anonymous","false"
"Form Filling","67","2026-06-12T12:57:12.669Z","{""total_typed_chars"":0,""total_pasted_chars"":0,""paste_event_count"":0,""last_paste_length"":0,""backspace_count"":0,""tab_switch_count"":0,""last_switch_time"":null,""window_minimized_seconds"":0,""screen_hidden_events"":0,""idle_time_seconds"":0,""active_seconds"":58,""wpm"":0,""last_save"":null,""last_activity"":""2026-06-12T12:58:20.479Z""}","69dde7c34ace88ace4b2736e","Nandini","task_started","","2026-06-12T12:58:20.479Z","Form Filling","6a2c022f956f48ca61636cb4","2026-06-12T12:57:19.507000","2026-06-12T12:58:24.595000","anonymous","anonymous","false"
"PDF to Word Typing","61","2026-06-12T12:42:27.757Z","{""total_typed_chars"":0,""total_pasted_chars"":0,""paste_event_count"":0,""last_paste_length"":0,""backspace_count"":0,""tab_switch_count"":0,""last_switch_time"":null,""window_minimized_seconds"":0,""screen_hidden_events"":0,""idle_time_seconds"":0,""active_seconds"":60,""wpm"":0,""last_save"":null,""last_activity"":""2026-06-12T12:43:28.815Z""}","69dde7c34ace88ace4b2736e","Nandini","task_started","","2026-06-12T12:43:28.815Z","PDF to Word Typing","6a2bfeb6de94851436b55e63","2026-06-12T12:42:30.889000","2026-06-12T12:43:31.479000","anonymous","anonymous","false"
"Data Entry","14160","2026-06-12T09:43:01.972Z","{""total_typed_chars"":12758,""total_pasted_chars"":0,""paste_event_count"":0,""last_paste_length"":0,""backspace_count"":1593,""tab_switch_count"":82,""last_switch_time"":""2026-06-12T13:38:43.320Z"",""window_minimized_seconds"":2658,""screen_hidden_events"":82,""idle_time_seconds"":650,""active_seconds"":12166,""wpm"":13,""last_save"":""2026-06-12T13:29:57.880Z"",""last_activity"":""2026-06-12T13:39:02.830Z""}","69e080c316eada7181a563d4","Abdul wahab","task_started","","2026-06-12T13:39:02.830Z","Data Entry","6a2bd4a921cf21080630ce89","2026-06-12T09:43:05.846000","2026-06-12T13:39:06.645000","anonymous","anonymous","false"
"Data Entry","18124","2026-06-12T04:30:19.991Z","{""total_typed_chars"":0,""total_pasted_chars"":0,""paste_event_count"":0,""last_paste_length"":0,""backspace_count"":781,""tab_switch_count"":36,""last_switch_time"":""2026-06-12T09:32:05.704Z"",""window_minimized_seconds"":3613,""screen_hidden_events"":36,""idle_time_seconds"":1030,""active_seconds"":14152,""wpm"":0,""last_save"":""2026-06-12T09:30:01.401Z"",""last_activity"":""2026-06-12T09:32:24.049Z""}","69e618e0cd9ea118cc9f4bff","Abhishek Nayak","task_started","","2026-06-12T09:32:24.049Z","Data Entry","6a2b8b5e5fa8f31ae1a92e61","2026-06-12T04:30:22.896000","2026-06-12T09:32:35.382000","anonymous","anonymous","false"
"PDF to Word Typing","","2026-06-12T03:03:02.699Z","{""total_typed_chars"":0,""total_pasted_chars"":0,""paste_event_count"":0,""last_paste_length"":0,""backspace_count"":0,""tab_switch_count"":0,""last_switch_time"":null,""window_minimized_seconds"":0,""screen_hidden_events"":0,""idle_time_seconds"":0,""active_seconds"":0,""wpm"":0,""last_save"":null,""last_activity"":""2026-06-12T03:03:02.700Z""}","69ce0523b2b59289683ba6dc","Manish Gocher","task_started","","","PDF to Word Typing","6a2b76e85e6e33afb88342a6","2026-06-12T03:03:04.263000","2026-06-12T03:03:04.263000","anonymous","anonymous","false"
"Data Entry","","2026-06-11T14:02:41.401Z","{""total_typed_chars"":0,""total_pasted_chars"":0,""paste_event_count"":0,""last_paste_length"":0,""backspace_count"":0,""tab_switch_count"":0,""last_switch_time"":null,""window_minimized_seconds"":0,""screen_hidden_events"":0,""idle_time_seconds"":0,""active_seconds"":0,""wpm"":0,""last_save"":null,""last_activity"":""2026-06-11T14:02:41.402Z""}","69e618e0cd9ea118cc9f4bff","Abhishek Nayak","task_started","","","Data Entry","6a2ac002a67805c66a4e3012","2026-06-11T14:02:42.656000","2026-06-11T14:02:42.656000","anonymous","anonymous","false"
"Data Entry","19625","2026-06-11T05:15:07.762Z","{""total_typed_chars"":0,""total_pasted_chars"":0,""paste_event_count"":0,""last_paste_length"":0,""backspace_count"":903,""tab_switch_count"":12,""last_switch_time"":""2026-06-11T10:41:38.127Z"",""window_minimized_seconds"":1425,""screen_hidden_events"":12,""idle_time_seconds"":1145,""active_seconds"":17358,""wpm"":0,""last_save"":""2026-06-11T10:38:16.063Z"",""last_activity"":""2026-06-11T10:42:13.666Z""}","69e618e0cd9ea118cc9f4bff","Abhishek Nayak","task_started","","2026-06-11T10:42:13.666Z","Data Entry","6a2a445c02a85ff3d69573c4","2026-06-11T05:15:08.353000","2026-06-11T10:42:14.060000","anonymous","anonymous","false"
"Form Filling","14123","2026-06-10T06:32:02.561Z","{""total_typed_chars"":2888,""total_pasted_chars"":0,""paste_event_count"":0,""last_paste_length"":0,""backspace_count"":787,""tab_switch_count"":10,""last_switch_time"":""2026-06-10T10:27:14.500Z"",""window_minimized_seconds"":5740,""screen_hidden_events"":10,""idle_time_seconds"":990,""active_seconds"":7576,""wpm"":10,""last_save"":""2026-06-10T10:26:46.602Z"",""last_activity"":""2026-06-10T10:27:26.027Z""}","69eb55ccb14d7094c35bff5b","Krishan Murari Sharma","task_started","","2026-06-10T10:27:26.027Z","Form Filling","6a2904e4a2a9ce239173ac9d","2026-06-10T06:32:04.919000","2026-06-10T10:27:26.907000","anonymous","anonymous","false"
"Grammar Correction","40","2026-06-06T09:22:02.177Z","{""total_typed_chars"":0,""total_pasted_chars"":0,""paste_event_count"":0,""last_paste_length"":0,""backspace_count"":0,""tab_switch_count"":0,""last_switch_time"":null,""window_minimized_seconds"":0,""screen_hidden_events"":0,""idle_time_seconds"":0,""active_seconds"":40,""wpm"":0,""last_save"":null,""last_activity"":""2026-06-06T09:22:42.864Z""}","69ce0523b2b59289683ba6dc","Manish Gocher","task_started","","2026-06-06T09:22:42.863Z","Grammar Correction","6a23e6bba7dcae95ae67091f","2026-06-06T09:22:03.058000","2026-06-06T09:22:43.437000","anonymous","anonymous","false"
"PDF to Word Typing","96392","2026-06-06T08:54:46.036Z","{""total_typed_chars"":1,""total_pasted_chars"":0,""paste_event_count"":0,""last_paste_length"":0,""backspace_count"":0,""tab_switch_count"":8,""last_switch_time"":""2026-06-07T11:40:59.009Z"",""window_minimized_seconds"":95870,""screen_hidden_events"":8,""idle_time_seconds"":3355,""active_seconds"":232,""wpm"":0,""last_save"":null,""last_activity"":""2026-06-07T11:41:18.058Z""}","69cd023bb74d1dc50025c2ac","utsav","task_started","","2026-06-07T11:41:18.058Z","PDF to Word Typing","6a23e056a4fc106fc71a330c","2026-06-06T08:54:46.558000","2026-06-07T11:41:18.230000","anonymous","anonymous","false"
"Data Entry","13493","2026-06-04T05:52:17.456Z","{""total_typed_chars"":0,""total_pasted_chars"":0,""paste_event_count"":0,""last_paste_length"":0,""backspace_count"":30,""tab_switch_count"":2,""last_switch_time"":""2026-06-04T06:14:25.249Z"",""window_minimized_seconds"":12169,""screen_hidden_events"":2,""idle_time_seconds"":555,""active_seconds"":834,""wpm"":0,""last_save"":""2026-06-04T06:03:00.827Z"",""last_activity"":""2026-06-04T09:37:11.260Z""}","69e618e0cd9ea118cc9f4bff","Abhishek Nayak","task_started","","2026-06-04T09:37:11.260Z","Data Entry","6a211294642519162fd7d8fb","2026-06-04T05:52:20.152000","2026-06-04T09:37:14.102000","anonymous","anonymous","false"
"Form Filling","","2026-06-03T07:21:06.453Z","{""total_typed_chars"":0,""total_pasted_chars"":0,""paste_event_count"":0,""last_paste_length"":0,""backspace_count"":0,""tab_switch_count"":0,""last_switch_time"":null,""window_minimized_seconds"":0,""screen_hidden_events"":0,""idle_time_seconds"":0,""active_seconds"":0,""wpm"":0,""last_save"":null,""last_activity"":""2026-06-03T07:21:06.454Z""}","69dde7c34ace88ace4b2736e","Nandini","task_started","","","Form Filling","6a1fd5e21327499b6327d02d","2026-06-03T07:21:06.977000","2026-06-03T07:21:06.977000","anonymous","anonymous","false"
"Data Entry","621","2026-06-01T09:04:47.884Z","{""total_typed_chars"":0,""total_pasted_chars"":0,""paste_event_count"":0,""last_paste_length"":0,""backspace_count"":44,""tab_switch_count"":1,""last_switch_time"":""2026-06-01T09:14:24.717Z"",""window_minimized_seconds"":0,""screen_hidden_events"":1,""idle_time_seconds"":115,""active_seconds"":506,""wpm"":0,""last_save"":""2026-06-01T09:11:48.889Z"",""last_activity"":""2026-06-01T09:15:09.182Z""}","69e618e0cd9ea118cc9f4bff","Abhishek Nayak","task_started","","2026-06-01T09:15:09.182Z","Data Entry","6a1d4b30b0695907e721b4ed","2026-06-01T09:04:48.732000","2026-06-01T09:15:10.068000","anonymous","anonymous","false"
"Form Filling","2981","2026-06-01T05:38:23.625Z","{""total_typed_chars"":945,""total_pasted_chars"":0,""paste_event_count"":0,""last_paste_length"":0,""backspace_count"":341,""tab_switch_count"":2,""last_switch_time"":""2026-06-01T06:27:54.686Z"",""window_minimized_seconds"":9,""screen_hidden_events"":2,""idle_time_seconds"":300,""active_seconds"":2682,""wpm"":3,""last_save"":null,""last_activity"":""2026-06-01T06:28:04.962Z""}","69e618e0cd9ea118cc9f4bff","Abhishek Nayak","task_started","","2026-06-01T06:28:04.961Z","Form Filling","6a1d1ad147ca1f5edf518df7","2026-06-01T05:38:25.486000","2026-06-01T06:28:06.596000","anonymous","anonymous","false"
"Data Entry","8","2026-05-31T05:37:17.772Z","{""total_typed_chars"":0,""total_pasted_chars"":0,""paste_event_count"":0,""last_paste_length"":0,""backspace_count"":0,""tab_switch_count"":0,""last_switch_time"":null,""window_minimized_seconds"":0,""screen_hidden_events"":0,""idle_time_seconds"":0,""active_seconds"":6,""wpm"":0,""last_save"":null,""last_activity"":""2026-05-31T05:37:26.667Z""}","69ce0523b2b59289683ba6dc","Manish Gocher","task_abandoned","","2026-05-31T05:37:26.667Z","Data Entry","6a1bc90e0b50c3c75cf48662","2026-05-31T05:37:18.770000","2026-05-31T05:37:27.725000","anonymous","anonymous","false"
"Data Entry","","2026-05-30T12:54:35.440Z","{""total_typed_chars"":0,""total_pasted_chars"":0,""paste_event_count"":0,""last_paste_length"":0,""backspace_count"":0,""tab_switch_count"":0,""last_switch_time"":null,""window_minimized_seconds"":0,""screen_hidden_events"":0,""idle_time_seconds"":0,""active_seconds"":0,""wpm"":0,""last_save"":null,""last_activity"":""2026-05-30T12:54:35.441Z""}","69e618e0cd9ea118cc9f4bff","Abhishek Nayak","task_started","","","Data Entry","6a1ade0d3ef70caf388b5107","2026-05-30T12:54:37.958000","2026-05-30T12:54:37.958000","anonymous","anonymous","false"
"Grammar Correction","","2026-05-30T06:56:24.005Z","{""total_typed_chars"":0,""total_pasted_chars"":0,""paste_event_count"":0,""last_paste_length"":0,""backspace_count"":0,""tab_switch_count"":0,""last_switch_time"":null,""window_minimized_seconds"":0,""screen_hidden_events"":0,""idle_time_seconds"":0,""active_seconds"":0,""wpm"":0,""last_save"":null,""last_activity"":""2026-05-30T06:56:24.006Z""}","69ce057536ae09b05b567b92","Noman","task_started","","","Grammar Correction","6a1a8a1887a8c1532cce5d2a","2026-05-30T06:56:24.677000","2026-05-30T06:56:24.677000","anonymous","anonymous","false"
"PDF to Word Typing","501","2026-05-30T05:40:22.750Z","{""total_typed_chars"":155,""total_pasted_chars"":0,""paste_event_count"":0,""last_paste_length"":0,""backspace_count"":37,""tab_switch_count"":1,""last_switch_time"":""2026-05-30T05:48:41.106Z"",""window_minimized_seconds"":0,""screen_hidden_events"":1,""idle_time_seconds"":15,""active_seconds"":484,""wpm"":10,""last_save"":null,""last_activity"":""2026-05-30T05:48:44.285Z""}","69e618e0cd9ea118cc9f4bff","Abhishek Nayak","task_started","","2026-05-30T05:48:44.285Z","PDF to Word Typing","6a1a7848bfc9e1769d5a7756","2026-05-30T05:40:24.087000","2026-05-30T05:48:45.176000","anonymous","anonymous","false"
"Data Entry","694","2026-05-30T05:26:27.096Z","{""total_typed_chars"":0,""total_pasted_chars"":0,""paste_event_count"":0,""last_paste_length"":0,""backspace_count"":4,""tab_switch_count"":2,""last_switch_time"":""2026-05-30T05:28:46.706Z"",""window_minimized_seconds"":490,""screen_hidden_events"":2,""idle_time_seconds"":60,""active_seconds"":210,""wpm"":0,""last_save"":null,""last_activity"":""2026-05-30T05:38:01.612Z""}","69e618e0cd9ea118cc9f4bff","Abhishek Nayak","task_started","","2026-05-30T05:38:01.612Z","Data Entry","6a1a7503006f0ef2bcc4862d","2026-05-30T05:26:27.588000","2026-05-30T05:38:01.865000","anonymous","anonymous","false"
"Data Entry","28094","2026-05-29T05:34:36.545Z","{""total_typed_chars"":0,""total_pasted_chars"":83,""paste_event_count"":1,""last_paste_length"":83,""backspace_count"":904,""tab_switch_count"":9,""last_switch_time"":""2026-05-29T13:21:25.796Z"",""window_minimized_seconds"":7749,""screen_hidden_events"":9,""idle_time_seconds"":840,""active_seconds"":19634,""wpm"":0,""last_save"":""2026-05-29T13:19:58.087Z"",""last_activity"":""2026-05-29T13:22:50.746Z""}","69e618e0cd9ea118cc9f4bff","Abhishek Nayak","task_started","","2026-05-29T13:22:50.746Z","Data Entry","6a19256e14a1cb1c6813f9e9","2026-05-29T05:34:38.581000","2026-05-29T13:22:52.632000","anonymous","anonymous","false"
"PDF to Word Typing","20","2026-05-28T05:15:09.029Z","{""total_typed_chars"":0,""total_pasted_chars"":0,""paste_event_count"":0,""last_paste_length"":0,""backspace_count"":1,""tab_switch_count"":0,""last_switch_time"":null,""window_minimized_seconds"":0,""screen_hidden_events"":0,""idle_time_seconds"":0,""active_seconds"":20,""wpm"":0,""last_save"":null,""last_activity"":""2026-05-28T05:15:29.764Z""}","69e618e0cd9ea118cc9f4bff","Abhishek Nayak","task_started","","2026-05-28T05:15:29.764Z","PDF to Word Typing","6a17cf5e02e8ed977c8c81d2","2026-05-28T05:15:10.533000","2026-05-28T05:15:31.411000","anonymous","anonymous","false"
"Grammar Correction","","2026-05-28T03:47:05.065Z","{""total_typed_chars"":0,""total_pasted_chars"":0,""paste_event_count"":0,""last_paste_length"":0,""backspace_count"":0,""tab_switch_count"":0,""last_switch_time"":null,""window_minimized_seconds"":0,""screen_hidden_events"":0,""idle_time_seconds"":0,""active_seconds"":0,""wpm"":0,""last_save"":null,""last_activity"":""2026-05-28T03:47:05.066Z""}","69e618e0cd9ea118cc9f4bff","Abhishek Nayak","task_started","","","Grammar Correction","6a17baba0f5b7f687f75f24a","2026-05-28T03:47:06.499000","2026-05-28T03:47:06.499000","anonymous","anonymous","false"
